image_id,dataset,fold1,fold2,fold3,fold4,fold5
11263,ubc_ocean,0,0,0,0,1
11417,ubc_ocean,0,0,1,0,0
11431,ubc_ocean,0,0,0,0,1
11557,ubc_ocean,0,0,0,1,0
11559,ubc_ocean,1,0,0,0,0
12159,ubc_ocean,0,1,0,0,0
12222,ubc_ocean,1,0,0,0,0
12244,ubc_ocean,0,0,0,1,0
12442,ubc_ocean,1,0,0,0,0
12522,ubc_ocean,1,0,0,0,0
12902,ubc_ocean,0,0,0,1,0
13364,ubc_ocean,1,0,0,0,0
13387,ubc_ocean,1,0,0,0,0
13526,ubc_ocean,1,0,0,0,0
13568,ubc_ocean,0,0,0,0,1
13987,ubc_ocean,0,0,0,1,0
14039,ubc_ocean,0,1,0,0,0
14051,ubc_ocean,0,1,0,0,0
14127,ubc_ocean,0,0,0,0,1
14312,ubc_ocean,0,0,0,1,0
14401,ubc_ocean,0,0,1,0,0
14424,ubc_ocean,0,0,0,0,1
14532,ubc_ocean,0,0,0,1,0
14542,ubc_ocean,1,0,0,0,0
14617,ubc_ocean,0,0,0,1,0
15139,ubc_ocean,1,0,0,0,0
15188,ubc_ocean,1,0,0,0,0
15209,ubc_ocean,0,0,0,0,1
15221,ubc_ocean,0,1,0,0,0
15231,ubc_ocean,0,0,0,1,0
15293,ubc_ocean,0,1,0,0,0
15470,ubc_ocean,0,1,0,0,0
15486,ubc_ocean,0,0,0,0,1
15583,ubc_ocean,0,0,0,1,0
15671,ubc_ocean,0,0,0,0,1
15742,ubc_ocean,0,0,0,0,1
15871,ubc_ocean,1,0,0,0,0
15912,ubc_ocean,0,0,0,1,0
16042,ubc_ocean,0,1,0,0,0
16064,ubc_ocean,0,0,0,0,1
16209,ubc_ocean,0,0,0,1,0
16325,ubc_ocean,1,0,0,0,0
16494,ubc_ocean,0,0,1,0,0
16876,ubc_ocean,0,0,0,1,0
16986,ubc_ocean,0,1,0,0,0
17067,ubc_ocean,0,1,0,0,0
17174,ubc_ocean,0,0,1,0,0
17291,ubc_ocean,0,0,1,0,0
17365,ubc_ocean,0,1,0,0,0
17416,ubc_ocean,0,0,1,0,0
17487,ubc_ocean,0,0,0,1,0
17637,ubc_ocean,0,0,1,0,0
17738,ubc_ocean,0,0,0,0,1
17854,ubc_ocean,0,0,0,1,0
18014,ubc_ocean,0,0,0,0,1
18138,ubc_ocean,0,0,0,1,0
18196,ubc_ocean,0,0,1,0,0
18547,ubc_ocean,1,0,0,0,0
18568,ubc_ocean,0,0,1,0,0
18607,ubc_ocean,0,0,1,0,0
18810,ubc_ocean,0,1,0,0,0
18813,ubc_ocean,0,1,0,0,0
18896,ubc_ocean,0,0,0,0,1
18914,ubc_ocean,0,1,0,0,0
18981,ubc_ocean,0,1,0,0,0
19030,ubc_ocean,0,1,0,0,0
19157,ubc_ocean,0,0,1,0,0
19255,ubc_ocean,0,1,0,0,0
19512,ubc_ocean,1,0,0,0,0
19569,ubc_ocean,0,0,0,0,1
20205,ubc_ocean,0,0,0,1,0
20312,ubc_ocean,0,1,0,0,0
20316,ubc_ocean,0,0,0,0,1
20329,ubc_ocean,0,0,1,0,0
20463,ubc_ocean,0,0,1,0,0
20670,ubc_ocean,0,1,0,0,0
20858,ubc_ocean,1,0,0,0,0
20882,ubc_ocean,0,0,0,1,0
21020,ubc_ocean,0,1,0,0,0
21232,ubc_ocean,0,0,0,1,0
21260,ubc_ocean,0,1,0,0,0
21303,ubc_ocean,1,0,0,0,0
21373,ubc_ocean,1,0,0,0,0
21432,ubc_ocean,1,0,0,0,0
21445,ubc_ocean,0,0,0,0,1
21910,ubc_ocean,0,1,0,0,0
21929,ubc_ocean,1,0,0,0,0
22155,ubc_ocean,0,0,0,0,1
22221,ubc_ocean,0,0,0,1,0
22290,ubc_ocean,0,0,0,0,1
22425,ubc_ocean,0,0,0,0,1
22489,ubc_ocean,1,0,0,0,0
22654,ubc_ocean,0,0,0,1,0
22740,ubc_ocean,1,0,0,0,0
22924,ubc_ocean,0,1,0,0,0
23523,ubc_ocean,1,0,0,0,0
23629,ubc_ocean,0,0,0,1,0
23796,ubc_ocean,0,0,0,1,0
24023,ubc_ocean,1,0,0,0,0
24507,ubc_ocean,0,0,1,0,0
24563,ubc_ocean,0,0,0,0,1
24617,ubc_ocean,0,1,0,0,0
24759,ubc_ocean,0,1,0,0,0
24991,ubc_ocean,0,1,0,0,0
25256,ubc_ocean,0,1,0,0,0
25331,ubc_ocean,0,0,0,0,1
25561,ubc_ocean,0,0,0,0,1
25604,ubc_ocean,0,1,0,0,0
25792,ubc_ocean,1,0,0,0,0
25923,ubc_ocean,0,1,0,0,0
25928,ubc_ocean,1,0,0,0,0
26025,ubc_ocean,0,0,0,1,0
26124,ubc_ocean,0,1,0,0,0
26190,ubc_ocean,0,0,1,0,0
26219,ubc_ocean,0,0,0,0,1
26533,ubc_ocean,0,0,0,1,0
26603,ubc_ocean,0,0,0,0,1
26644,ubc_ocean,0,0,0,1,0
26862,ubc_ocean,0,0,0,1,0
26939,ubc_ocean,0,0,0,1,0
26950,ubc_ocean,0,0,0,0,1
27245,ubc_ocean,0,0,1,0,0
27249,ubc_ocean,0,0,1,0,0
27315,ubc_ocean,1,0,0,0,0
27739,ubc_ocean,0,1,0,0,0
27747,ubc_ocean,0,0,1,0,0
27851,ubc_ocean,1,0,0,0,0
27950,ubc_ocean,0,1,0,0,0
28028,ubc_ocean,0,0,0,0,1
28066,ubc_ocean,0,0,0,0,1
28121,ubc_ocean,1,0,0,0,0
28393,ubc_ocean,0,0,0,1,0
28519,ubc_ocean,0,0,1,0,0
28562,ubc_ocean,0,1,0,0,0
28603,ubc_ocean,0,0,0,0,1
28736,ubc_ocean,0,0,0,0,1
28821,ubc_ocean,0,1,0,0,0
28922,ubc_ocean,0,0,1,0,0
29084,ubc_ocean,0,0,1,0,0
29147,ubc_ocean,0,0,0,1,0
29200,ubc_ocean,0,0,1,0,0
29240,ubc_ocean,0,0,1,0,0
29331,ubc_ocean,0,1,0,0,0
29615,ubc_ocean,0,0,0,0,1
29888,ubc_ocean,0,1,0,0,0
29904,ubc_ocean,0,0,0,1,0
29915,ubc_ocean,0,0,0,0,1
30203,ubc_ocean,0,0,1,0,0
30272,ubc_ocean,0,0,0,1,0
30369,ubc_ocean,0,0,0,0,1
30508,ubc_ocean,0,1,0,0,0
30515,ubc_ocean,0,1,0,0,0
30539,ubc_ocean,0,1,0,0,0
30712,ubc_ocean,0,0,0,0,1
30738,ubc_ocean,0,0,1,0,0
30792,ubc_ocean,0,0,0,0,1
30794,ubc_ocean,0,1,0,0,0
30868,ubc_ocean,0,0,0,1,0
30986,ubc_ocean,1,0,0,0,0
31033,ubc_ocean,0,1,0,0,0
31297,ubc_ocean,0,0,0,0,1
31300,ubc_ocean,1,0,0,0,0
31333,ubc_ocean,0,0,1,0,0
31383,ubc_ocean,0,0,1,0,0
31473,ubc_ocean,0,0,1,0,0
31594,ubc_ocean,0,0,0,0,1
31793,ubc_ocean,0,0,1,0,0
32032,ubc_ocean,0,1,0,0,0
32035,ubc_ocean,0,0,1,0,0
32042,ubc_ocean,0,0,0,0,1
32112,ubc_ocean,0,0,1,0,0
32192,ubc_ocean,0,1,0,0,0
32432,ubc_ocean,1,0,0,0,0
32596,ubc_ocean,0,0,1,0,0
32636,ubc_ocean,1,0,0,0,0
33708,ubc_ocean,0,1,0,0,0
33839,ubc_ocean,0,0,0,1,0
33976,ubc_ocean,0,0,1,0,0
33984,ubc_ocean,0,0,0,1,0
34247,ubc_ocean,0,0,1,0,0
34277,ubc_ocean,0,0,1,0,0
34508,ubc_ocean,1,0,0,0,0
34649,ubc_ocean,0,0,0,0,1
34688,ubc_ocean,0,0,1,0,0
34690,ubc_ocean,1,0,0,0,0
34720,ubc_ocean,0,0,1,0,0
34822,ubc_ocean,0,0,0,1,0
34845,ubc_ocean,0,0,0,1,0
35197,ubc_ocean,0,0,1,0,0
35239,ubc_ocean,0,0,0,0,1
35565,ubc_ocean,0,0,0,1,0
35592,ubc_ocean,0,0,0,0,1
35652,ubc_ocean,0,0,0,0,1
35754,ubc_ocean,0,1,0,0,0
35792,ubc_ocean,0,0,1,0,0
35909,ubc_ocean,0,0,0,1,0
35953,ubc_ocean,0,0,0,1,0
35998,ubc_ocean,0,0,0,0,1
36008,ubc_ocean,0,1,0,0,0
36063,ubc_ocean,1,0,0,0,0
36204,ubc_ocean,0,0,0,1,0
36302,ubc_ocean,0,0,0,0,1
36499,ubc_ocean,0,0,1,0,0
36513,ubc_ocean,0,0,0,1,0
36583,ubc_ocean,0,0,0,1,0
36639,ubc_ocean,0,1,0,0,0
36678,ubc_ocean,0,0,0,0,1
36783,ubc_ocean,1,0,0,0,0
37190,ubc_ocean,0,1,0,0,0
37307,ubc_ocean,1,0,0,0,0
37367,ubc_ocean,0,0,0,1,0
37385,ubc_ocean,0,0,1,0,0
37655,ubc_ocean,0,0,1,0,0
38018,ubc_ocean,0,0,0,0,1
38019,ubc_ocean,0,0,0,0,1
38041,ubc_ocean,0,0,1,0,0
38048,ubc_ocean,0,0,1,0,0
38097,ubc_ocean,0,0,1,0,0
38118,ubc_ocean,1,0,0,0,0
38349,ubc_ocean,0,0,1,0,0
38366,ubc_ocean,0,0,0,1,0
38479,ubc_ocean,1,0,0,0,0
38535,ubc_ocean,0,0,0,1,0
38585,ubc_ocean,1,0,0,0,0
38647,ubc_ocean,1,0,0,0,0
38669,ubc_ocean,0,0,0,1,0
38687,ubc_ocean,0,0,0,1,0
38849,ubc_ocean,0,0,0,1,0
38901,ubc_ocean,0,0,1,0,0
38959,ubc_ocean,0,0,0,0,1
39144,ubc_ocean,0,0,0,1,0
39146,ubc_ocean,0,0,0,0,1
39172,ubc_ocean,0,0,0,0,1
39208,ubc_ocean,0,1,0,0,0
39252,ubc_ocean,0,0,1,0,0
39255,ubc_ocean,1,0,0,0,0
39258,ubc_ocean,0,0,1,0,0
39269,ubc_ocean,0,0,0,0,1
39297,ubc_ocean,0,1,0,0,0
39365,ubc_ocean,0,0,1,0,0
39425,ubc_ocean,0,1,0,0,0
39466,ubc_ocean,0,0,1,0,0
39728,ubc_ocean,0,0,1,0,0
39872,ubc_ocean,1,0,0,0,0
39880,ubc_ocean,1,0,0,0,0
39893,ubc_ocean,1,0,0,0,0
39990,ubc_ocean,0,0,0,0,1
40079,ubc_ocean,0,1,0,0,0
40124,ubc_ocean,0,1,0,0,0
40129,ubc_ocean,0,1,0,0,0
40503,ubc_ocean,0,1,0,0,0
40639,ubc_ocean,1,0,0,0,0
40864,ubc_ocean,0,0,0,0,1
40888,ubc_ocean,0,0,1,0,0
41099,ubc_ocean,0,1,0,0,0
41361,ubc_ocean,0,0,1,0,0
41368,ubc_ocean,0,0,1,0,0
41586,ubc_ocean,1,0,0,0,0
41801,ubc_ocean,0,1,0,0,0
42125,ubc_ocean,0,1,0,0,0
42260,ubc_ocean,0,0,1,0,0
42296,ubc_ocean,0,0,0,1,0
42549,ubc_ocean,0,0,0,1,0
42857,ubc_ocean,0,1,0,0,0
43280,ubc_ocean,1,0,0,0,0
43390,ubc_ocean,0,0,1,0,0
43432,ubc_ocean,0,0,0,1,0
43671,ubc_ocean,0,0,0,0,1
43796,ubc_ocean,0,1,0,0,0
43815,ubc_ocean,0,1,0,0,0
43875,ubc_ocean,0,1,0,0,0
43998,ubc_ocean,0,0,0,1,0
44232,ubc_ocean,0,0,1,0,0
44283,ubc_ocean,0,1,0,0,0
44432,ubc_ocean,0,1,0,0,0
44530,ubc_ocean,0,1,0,0,0
44581,ubc_ocean,0,1,0,0,0
44603,ubc_ocean,0,1,0,0,0
44700,ubc_ocean,0,1,0,0,0
44804,ubc_ocean,0,1,0,0,0
44962,ubc_ocean,0,0,1,0,0
44976,ubc_ocean,1,0,0,0,0
45104,ubc_ocean,0,0,1,0,0
45185,ubc_ocean,0,0,1,0,0
45254,ubc_ocean,0,0,0,0,1
45578,ubc_ocean,1,0,0,0,0
45630,ubc_ocean,1,0,0,0,0
45725,ubc_ocean,1,0,0,0,0
45990,ubc_ocean,0,1,0,0,0
46139,ubc_ocean,1,0,0,0,0
46172,ubc_ocean,0,1,0,0,0
46435,ubc_ocean,0,0,1,0,0
46444,ubc_ocean,1,0,0,0,0
46469,ubc_ocean,0,0,0,0,1
46543,ubc_ocean,0,0,0,0,1
46688,ubc_ocean,0,0,0,0,1
46736,ubc_ocean,0,1,0,0,0
46769,ubc_ocean,0,0,0,0,1
46793,ubc_ocean,0,0,0,1,0
46815,ubc_ocean,1,0,0,0,0
47020,ubc_ocean,0,0,0,0,1
47035,ubc_ocean,0,0,0,1,0
47105,ubc_ocean,1,0,0,0,0
47431,ubc_ocean,0,0,0,1,0
47837,ubc_ocean,0,0,0,1,0
47911,ubc_ocean,0,1,0,0,0
47960,ubc_ocean,0,1,0,0,0
47984,ubc_ocean,1,0,0,0,0
48502,ubc_ocean,0,0,0,1,0
48506,ubc_ocean,0,0,0,1,0
48550,ubc_ocean,0,0,1,0,0
48734,ubc_ocean,0,0,0,0,1
48861,ubc_ocean,0,1,0,0,0
48973,ubc_ocean,1,0,0,0,0
49281,ubc_ocean,0,0,0,1,0
49587,ubc_ocean,1,0,0,0,0
49872,ubc_ocean,0,0,0,1,0
49942,ubc_ocean,1,0,0,0,0
49995,ubc_ocean,0,0,0,0,1
50048,ubc_ocean,0,0,1,0,0
50246,ubc_ocean,0,0,0,0,1
50304,ubc_ocean,0,0,1,0,0
50589,ubc_ocean,0,0,1,0,0
50712,ubc_ocean,0,0,1,0,0
50878,ubc_ocean,0,0,0,0,1
50932,ubc_ocean,0,1,0,0,0
50962,ubc_ocean,0,0,1,0,0
51021,ubc_ocean,0,0,0,1,0
51032,ubc_ocean,0,0,0,0,1
51128,ubc_ocean,0,0,0,0,1
51215,ubc_ocean,0,1,0,0,0
51346,ubc_ocean,0,0,0,0,1
51499,ubc_ocean,0,0,0,1,0
51679,ubc_ocean,1,0,0,0,0
51832,ubc_ocean,0,0,0,0,1
51893,ubc_ocean,0,0,1,0,0
52108,ubc_ocean,0,0,0,1,0
52259,ubc_ocean,0,0,0,0,1
52275,ubc_ocean,1,0,0,0,0
52308,ubc_ocean,0,1,0,0,0
52375,ubc_ocean,0,0,0,1,0
52420,ubc_ocean,0,0,0,0,1
52438,ubc_ocean,1,0,0,0,0
52461,ubc_ocean,1,0,0,0,0
52612,ubc_ocean,0,0,1,0,0
52752,ubc_ocean,1,0,0,0,0
52784,ubc_ocean,0,0,0,1,0
52836,ubc_ocean,0,1,0,0,0
52846,ubc_ocean,1,0,0,0,0
52931,ubc_ocean,0,0,0,0,1
53059,ubc_ocean,0,0,1,0,0
53098,ubc_ocean,0,0,0,1,0
53377,ubc_ocean,0,0,0,1,0
53402,ubc_ocean,0,0,0,1,0
53655,ubc_ocean,0,0,1,0,0
53688,ubc_ocean,0,0,0,1,0
53859,ubc_ocean,0,0,1,0,0
53900,ubc_ocean,0,0,1,0,0
54007,ubc_ocean,0,0,0,1,0
54408,ubc_ocean,0,0,0,0,1
54473,ubc_ocean,1,0,0,0,0
54506,ubc_ocean,0,0,1,0,0
54590,ubc_ocean,1,0,0,0,0
54825,ubc_ocean,0,1,0,0,0
54928,ubc_ocean,0,0,0,1,0
54949,ubc_ocean,1,0,0,0,0
54990,ubc_ocean,0,0,0,1,0
55279,ubc_ocean,0,1,0,0,0
55281,ubc_ocean,1,0,0,0,0
55287,ubc_ocean,0,0,0,1,0
55876,ubc_ocean,0,1,0,0,0
56117,ubc_ocean,0,0,1,0,0
56221,ubc_ocean,0,0,0,1,0
56351,ubc_ocean,0,0,1,0,0
56500,ubc_ocean,1,0,0,0,0
56799,ubc_ocean,0,0,1,0,0
56843,ubc_ocean,0,1,0,0,0
56861,ubc_ocean,0,1,0,0,0
56875,ubc_ocean,0,0,1,0,0
56947,ubc_ocean,0,0,0,0,1
56993,ubc_ocean,0,0,0,1,0
57100,ubc_ocean,1,0,0,0,0
57162,ubc_ocean,0,1,0,0,0
57265,ubc_ocean,0,0,1,0,0
57468,ubc_ocean,0,0,0,0,1
57598,ubc_ocean,0,0,0,1,0
57696,ubc_ocean,0,1,0,0,0
57711,ubc_ocean,0,0,0,0,1
58895,ubc_ocean,0,0,0,0,1
58947,ubc_ocean,0,1,0,0,0
58974,ubc_ocean,0,0,1,0,0
59002,ubc_ocean,0,0,1,0,0
59031,ubc_ocean,0,1,0,0,0
59383,ubc_ocean,0,0,0,0,1
59515,ubc_ocean,0,0,1,0,0
59589,ubc_ocean,0,0,1,0,0
59760,ubc_ocean,0,0,1,0,0
59900,ubc_ocean,0,1,0,0,0
60058,ubc_ocean,0,0,1,0,0
60287,ubc_ocean,0,0,1,0,0
60685,ubc_ocean,1,0,0,0,0
60928,ubc_ocean,0,1,0,0,0
60936,ubc_ocean,0,0,0,0,1
60988,ubc_ocean,0,1,0,0,0
61033,ubc_ocean,0,0,1,0,0
61089,ubc_ocean,0,0,0,0,1
61100,ubc_ocean,0,0,0,0,1
61280,ubc_ocean,0,1,0,0,0
61320,ubc_ocean,1,0,0,0,0
61424,ubc_ocean,1,0,0,0,0
61493,ubc_ocean,0,1,0,0,0
61689,ubc_ocean,0,0,0,0,1
61797,ubc_ocean,0,0,1,0,0
61823,ubc_ocean,0,0,0,1,0
61852,ubc_ocean,0,0,0,0,1
61961,ubc_ocean,0,1,0,0,0
62476,ubc_ocean,0,0,0,0,1
62641,ubc_ocean,0,1,0,0,0
62828,ubc_ocean,0,0,0,0,1
63015,ubc_ocean,0,1,0,0,0
63121,ubc_ocean,0,1,0,0,0
63165,ubc_ocean,0,0,0,0,1
63289,ubc_ocean,1,0,0,0,0
63298,ubc_ocean,0,0,0,1,0
63367,ubc_ocean,0,0,0,1,0
63429,ubc_ocean,1,0,0,0,0
63836,ubc_ocean,0,0,0,0,1
63897,ubc_ocean,0,0,1,0,0
63941,ubc_ocean,0,0,1,0,0
64111,ubc_ocean,1,0,0,0,0
64188,ubc_ocean,1,0,0,0,0
64629,ubc_ocean,0,0,1,0,0
64771,ubc_ocean,0,0,0,0,1
64824,ubc_ocean,0,0,0,1,0
64950,ubc_ocean,0,1,0,0,0
65022,ubc_ocean,0,0,0,1,0
65094,ubc_ocean,1,0,0,0,0
65300,ubc_ocean,0,0,1,0,0
65371,ubc_ocean,1,0,0,0,0
65533,ubc_ocean,0,0,0,1,0
human_protein_atlas_0,human_protein_atlas,1,0,0,0,0
human_protein_atlas_1,human_protein_atlas,0,0,0,0,1
human_protein_atlas_10,human_protein_atlas,0,0,1,0,0
human_protein_atlas_102,human_protein_atlas,0,1,0,0,0
human_protein_atlas_104,human_protein_atlas,0,0,0,0,1
human_protein_atlas_105,human_protein_atlas,0,0,0,0,1
human_protein_atlas_107,human_protein_atlas,0,1,0,0,0
human_protein_atlas_108,human_protein_atlas,0,0,1,0,0
human_protein_atlas_111,human_protein_atlas,0,1,0,0,0
human_protein_atlas_114,human_protein_atlas,0,1,0,0,0
human_protein_atlas_116,human_protein_atlas,0,1,0,0,0
human_protein_atlas_117,human_protein_atlas,0,0,0,0,1
human_protein_atlas_118,human_protein_atlas,0,0,0,1,0
human_protein_atlas_124,human_protein_atlas,1,0,0,0,0
human_protein_atlas_125,human_protein_atlas,0,0,0,0,1
human_protein_atlas_126,human_protein_atlas,0,0,0,1,0
human_protein_atlas_127,human_protein_atlas,1,0,0,0,0
human_protein_atlas_13,human_protein_atlas,0,0,1,0,0
human_protein_atlas_130,human_protein_atlas,0,0,1,0,0
human_protein_atlas_136,human_protein_atlas,0,1,0,0,0
human_protein_atlas_137,human_protein_atlas,0,0,0,1,0
human_protein_atlas_14,human_protein_atlas,0,0,1,0,0
human_protein_atlas_142,human_protein_atlas,0,0,0,0,1
human_protein_atlas_145,human_protein_atlas,0,0,0,1,0
human_protein_atlas_146,human_protein_atlas,0,1,0,0,0
human_protein_atlas_148,human_protein_atlas,0,0,0,1,0
human_protein_atlas_149,human_protein_atlas,1,0,0,0,0
human_protein_atlas_150,human_protein_atlas,0,0,0,0,1
human_protein_atlas_152,human_protein_atlas,0,0,0,1,0
human_protein_atlas_153,human_protein_atlas,1,0,0,0,0
human_protein_atlas_154,human_protein_atlas,0,0,0,0,1
human_protein_atlas_155,human_protein_atlas,0,0,0,0,1
human_protein_atlas_158,human_protein_atlas,0,0,0,1,0
human_protein_atlas_16,human_protein_atlas,0,0,1,0,0
human_protein_atlas_160,human_protein_atlas,0,0,1,0,0
human_protein_atlas_164,human_protein_atlas,0,0,1,0,0
human_protein_atlas_167,human_protein_atlas,0,1,0,0,0
human_protein_atlas_169,human_protein_atlas,1,0,0,0,0
human_protein_atlas_17,human_protein_atlas,1,0,0,0,0
human_protein_atlas_170,human_protein_atlas,0,0,0,1,0
human_protein_atlas_171,human_protein_atlas,0,0,0,0,1
human_protein_atlas_172,human_protein_atlas,0,0,0,1,0
human_protein_atlas_173,human_protein_atlas,0,0,0,0,1
human_protein_atlas_174,human_protein_atlas,0,0,1,0,0
human_protein_atlas_177,human_protein_atlas,0,0,1,0,0
human_protein_atlas_178,human_protein_atlas,0,1,0,0,0
human_protein_atlas_181,human_protein_atlas,0,1,0,0,0
human_protein_atlas_187,human_protein_atlas,0,0,0,1,0
human_protein_atlas_189,human_protein_atlas,0,0,0,0,1
human_protein_atlas_19,human_protein_atlas,0,0,1,0,0
human_protein_atlas_2,human_protein_atlas,1,0,0,0,0
human_protein_atlas_20,human_protein_atlas,1,0,0,0,0
human_protein_atlas_21,human_protein_atlas,1,0,0,0,0
human_protein_atlas_22,human_protein_atlas,0,0,0,1,0
human_protein_atlas_24,human_protein_atlas,0,0,1,0,0
human_protein_atlas_25,human_protein_atlas,0,0,0,0,1
human_protein_atlas_26,human_protein_atlas,0,0,1,0,0
human_protein_atlas_27,human_protein_atlas,0,0,1,0,0
human_protein_atlas_28,human_protein_atlas,0,0,0,1,0
human_protein_atlas_30,human_protein_atlas,0,0,1,0,0
human_protein_atlas_31,human_protein_atlas,0,0,0,0,1
human_protein_atlas_36,human_protein_atlas,0,0,1,0,0
human_protein_atlas_37,human_protein_atlas,0,1,0,0,0
human_protein_atlas_38,human_protein_atlas,0,0,0,1,0
human_protein_atlas_39,human_protein_atlas,0,1,0,0,0
human_protein_atlas_41,human_protein_atlas,0,0,1,0,0
human_protein_atlas_42,human_protein_atlas,0,1,0,0,0
human_protein_atlas_43,human_protein_atlas,0,1,0,0,0
human_protein_atlas_44,human_protein_atlas,0,1,0,0,0
human_protein_atlas_46,human_protein_atlas,0,1,0,0,0
human_protein_atlas_47,human_protein_atlas,0,1,0,0,0
human_protein_atlas_48,human_protein_atlas,0,0,1,0,0
human_protein_atlas_5,human_protein_atlas,0,0,0,0,1
human_protein_atlas_50,human_protein_atlas,0,0,0,0,1
human_protein_atlas_52,human_protein_atlas,0,1,0,0,0
human_protein_atlas_56,human_protein_atlas,0,0,0,0,1
human_protein_atlas_57,human_protein_atlas,0,0,0,1,0
human_protein_atlas_58,human_protein_atlas,0,0,0,0,1
human_protein_atlas_6,human_protein_atlas,0,0,1,0,0
human_protein_atlas_61,human_protein_atlas,0,0,1,0,0
human_protein_atlas_62,human_protein_atlas,1,0,0,0,0
human_protein_atlas_63,human_protein_atlas,0,1,0,0,0
human_protein_atlas_66,human_protein_atlas,0,0,0,0,1
human_protein_atlas_67,human_protein_atlas,0,1,0,0,0
human_protein_atlas_7,human_protein_atlas,0,0,1,0,0
human_protein_atlas_70,human_protein_atlas,0,1,0,0,0
human_protein_atlas_71,human_protein_atlas,0,0,0,1,0
